Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-04-16,EQ,1343,"1,380.00","1,341.00","1,349.25","1,347.05",1353.2,"1,359.01","1,472.70",469.2,1437982,"1,95,42,27,844.50",41869
2021-04-19,EQ,1330.3,"1,339.00","1,305.25","1,353.20","1,321.00",1324.7,"1,319.85","1,472.70",469.2,1236979,"1,63,26,30,141.45",47416
2021-04-20,EQ,1351.1,"1,373.35","1,281.60","1,324.70","1,283.00",1291.9,"1,314.28","1,472.70",469.2,3688197,"4,84,73,19,249.10",107520
2021-04-22,EQ,1271.9,"1,313.65","1,270.30","1,291.90","1,305.05",1300.2,"1,292.77","1,472.70",469.2,1868808,"2,41,59,34,531.45",61512
2021-04-23,EQ,1299,"1,323.15","1,262.00","1,300.20","1,285.00",1278.1,"1,286.39","1,472.70",469.2,2839747,"3,65,30,32,391.80",87583
2021-04-26,EQ,1285,"1,321.00","1,285.00","1,278.10","1,320.00",1312.35,"1,303.61","1,472.70",469.2,1233546,"1,60,80,66,266.75",36437
2021-04-27,EQ,1320,"1,339.20","1,308.00","1,312.35","1,338.00",1331.2,"1,323.07","1,472.70",469.2,1236334,"1,63,57,54,566.30",48465
2021-04-28,EQ,1337.45,"1,349.00","1,321.15","1,331.20","1,347.25",1341.15,"1,337.11","1,472.70",469.2,1283746,"1,71,65,11,056.80",33235
2021-04-29,EQ,1354.4,"1,369.50","1,332.30","1,341.15","1,352.00",1350.7,"1,348.65","1,472.70",469.2,1793007,"2,41,81,43,430.60",52053
2021-04-30,EQ,1342,"1,407.40","1,333.00","1,350.70","1,401.10",1401.75,"1,386.13","1,472.70",469.2,3261678,"4,52,11,16,402.35",87943
2021-05-03,EQ,1396.6,"1,425.05","1,374.25","1,401.75","1,414.00",1414.55,"1,404.78","1,472.70",469.2,1786884,"2,51,01,87,105.90",63547
2021-05-04,EQ,1415,"1,448.90","1,404.00","1,414.55","1,418.00",1415.95,"1,425.28","1,472.70",469.2,2071008,"2,95,17,70,091.05",83352
2021-05-05,EQ,1420.1,"1,454.95","1,405.00","1,415.95","1,419.00",1420.9,"1,428.65","1,472.70",469.2,2157276,"3,08,19,99,382.10",87102
2021-05-06,EQ,1420,"1,450.00","1,418.10","1,420.90","1,447.90",1447.9,"1,439.19","1,472.70",469.2,1636815,"2,35,56,91,515.15",39417
2021-05-07,EQ,1450,"1,461.90","1,433.30","1,447.90","1,448.00",1449.6,"1,448.52","1,472.70",469.2,1267488,"1,83,59,75,626.85",47392
2021-05-10,EQ,1460,"1,475.00","1,430.25","1,449.60","1,443.00",1444.55,"1,447.59","1,475.00",484.75,2072611,"3,00,02,99,716.95",66639
2021-05-11,EQ,1425,"1,468.95","1,425.00","1,444.55","1,449.50",1450.15,"1,453.09","1,475.00",484.75,1521151,"2,21,03,61,927.05",61809
